"year","city","price_index","intl_students","housing_starts","policy_rate","log_price_index","policy_rate_z","intl_students_z","housing_starts_z"
2016,"Hamilton",98.5666666666667,5073,39.576,0.5,4.59073313819032,-0.710603922056664,-0.731630720024069,-0.520152308891632
2017,"Hamilton",102.258333333333,6573,35.197,0.698076923076923,4.6275022911945,-0.566825587388341,-0.674048261628856,-0.546533988620757
2018,"Hamilton",103.558333333333,7578,43.313,1.40421455938697,4.64013506102394,-0.0542606110237989,-0.635468014504064,-0.497638415959972
2019,"Hamilton",104.233333333333,8913,38.081,1.75,4.64663197579568,0.196735083131781,-0.584219626532325,-0.529159070982301
2020,"Hamilton",107.291666666667,8859,41.154,0.556513409961686,4.67555098274989,-0.66958246511711,-0.586292595034553,-0.510645505828704
2021,"Hamilton",116.1,8832,50.898,0.25,4.75445188870385,-0.892071723094353,-0.587329079285667,-0.451941900603632
2022,"Hamilton",116.508333333333,10842,42.252,1.9296875,4.75796280120578,0.32716506512762,-0.510168585036082,-0.504030505978835
2023,"Hamilton",115.466666666667,13638,44.513,4.74324324324324,4.74898188802017,2.36944416042087,-0.402834882587406,-0.490408907927327
2016,"Kitchener-Cambridge-Waterloo",97.6166666666667,10860,48.391,0.5,4.58104824386768,-0.710603922056664,-0.50947759553534,-0.467045547801832
2017,"Kitchener-Cambridge-Waterloo",103.05,12927,46.494,0.698076923076923,4.63521430733647,-0.566825587388341,-0.430128967866737,-0.478474195083437
2018,"Kitchener-Cambridge-Waterloo",103.75,16764,37.468,1.40421455938697,4.64198415911081,-0.0542606110237989,-0.282833039291784,-0.532852144668977
2019,"Kitchener-Cambridge-Waterloo",105.525,20937,65.942,1.75,4.65894789166856,0.196735083131781,-0.122638640036303,-0.36130796823438
2020,"Kitchener-Cambridge-Waterloo",112.025,19452,44.996,0.556513409961686,4.71872206067221,-0.66958246511711,-0.179645273847563,-0.487499030944188
2021,"Kitchener-Cambridge-Waterloo",139.5,22758,67.425,0.25,4.93806460126142,-0.892071723094353,-0.0527335355445155,-0.352373501224037
2022,"Kitchener-Cambridge-Waterloo",158.708333333333,25854,57.848,1.9296875,5.06706813613066,0.32716506512762,0.0661166585832027,-0.410070999914567
2023,"Kitchener-Cambridge-Waterloo",157.65,39714,56.602,4.74324324324324,5.06037738599107,2.36944416042087,0.598178574154965,-0.417577639088462
2016,"London",98.5583333333333,6810,37.465,0.5,4.59064858946907,-0.710603922056664,-0.664950233202413,-0.532870218439059
2017,"London",104.65,8079,47.474,0.698076923076923,4.65062144889201,-0.566825587388341,-0.616235473400063,-0.472570096856777
2018,"London",109.833333333333,9792,32.605,1.40421455938697,4.69896406527445,-0.0542606110237989,-0.550476305912731,-0.562149725971268
2019,"London",113.158333333333,12030,40.654,1.75,4.72878801791675,0.196735083131781,-0.464563277987074,-0.513657800842306
2020,"London",116.675,11667,51.356,0.556513409961686,4.75939229183588,-0.66958246511711,-0.478498232918715,-0.449182638371173
2021,"London",132,12354,67.747,0.25,4.88280192258637,-0.892071723094353,-0.452125466973708,-0.350433583235278
2022,"London",147.191666666667,14697,40.795,1.9296875,4.9917355923734,0.32716506512762,-0.362181666960387,-0.51280833364847
2023,"London",145.55,19041,26.291,4.74324324324324,4.98051967019163,2.36944416042087,-0.195422867447852,-0.600188987403032
2016,"Ottawa-Gatineau",99.225,12111,62.98,0.5,4.59738999866913,-0.710603922056664,-0.461453825233733,-0.379152803894957
2017,"Ottawa-Gatineau",102.366666666667,13716,90.305,0.698076923076923,4.62856113877867,-0.566825587388341,-0.399840594750855,-0.214530881401617
2018,"Ottawa-Gatineau",107.55,15672,90.01,1.40421455938697,4.67795585571374,-0.0542606110237989,-0.324753069003498,-0.216308135459642
2019,"Ottawa-Gatineau",113.408333333333,18003,92.871,1.75,4.73099487477827,0.196735083131781,-0.235269928657339,-0.199071783391813
2020,"Ottawa-Gatineau",126.508333333333,17775,119.667,0.556513409961686,4.84030818215067,-0.66958246511711,-0.244022462333411,-0.0376368690228636
2021,"Ottawa-Gatineau",154.925,18549,123.835,0.25,5.04294112884817,-0.892071723094353,-0.214309913801481,-0.0125263777894788
2022,"Ottawa-Gatineau",173.016666666667,20886,132.346,1.9296875,5.15338792897115,0.32716506512762,-0.12459644362174,0.0387489079320516
2023,"Ottawa-Gatineau",170.766666666667,24360,110.361,4.74324324324324,5.14029810227705,2.36944416042087,0.00876453002157128,-0.0937017038160208
2016,"St. Catharines-Niagara",97.4083333333333,3708,23.396,0.5,4.57891176482572,-0.710603922056664,-0.784030757163712,-0.617630175531787
2017,"St. Catharines-Niagara",103.25,4608,26.624,0.698076923076923,4.63715323184114,-0.566825587388341,-0.749481282126584,-0.598182798923974
2018,"St. Catharines-Niagara",105.533333333333,6051,22.542,1.40421455938697,4.6590268587788,-0.0542606110237989,-0.69408695715039,-0.622775175415019
2019,"St. Catharines-Niagara",106.683333333333,6048,33.523,1.75,4.6698649449199,0.196735083131781,-0.694202122067181,-0.556619152326296
2020,"St. Catharines-Niagara",110.683333333333,4770,29.579,0.556513409961686,4.70667327131861,-0.66958246511711,-0.743262376619902,-0.580380135393587
2021,"St. Catharines-Niagara",123.966666666667,6123,31.822,0.25,4.82001271226292,-0.892071723094353,-0.69132299914742,-0.566866979962569
2022,"St. Catharines-Niagara",129.633333333333,11214,37.665,1.9296875,4.86470995249359,0.32716506512762,-0.49588813535407,-0.531665300433618
2023,"St. Catharines-Niagara",127.491666666667,15759,33.297,4.74324324324324,4.84805100298534,2.36944416042087,-0.321413286416576,-0.557980709672444
2016,"Toronto",96.6166666666667,53343,467.819,0.5,4.57075125911763,-0.710603922056664,1.12137279113386,2.05983619812814
2017,"Toronto",103.616666666667,62979,470.927,0.698076923076923,4.64069819204724,-0.566825587388341,1.49128250386471,2.07856062393269
2018,"Toronto",103.458333333333,71955,496.33,1.40421455938697,4.63916895516022,-0.0542606110237989,1.83585593490166,2.23160328439375
2019,"Toronto",102.55,80235,364.498,1.75,4.63035048451839,0.196735083131781,2.15371110524323,1.43736953192744
2020,"Toronto",103.491666666667,77160,463.615,0.556513409961686,4.63949109416599,-0.66958246511711,2.03566706553304,2.03450882165378
2021,"Toronto",110.416666666667,81162,502.331,0.25,4.70426108863233,-0.892071723094353,2.18929706453147,2.267756849147
2022,"Toronto",115.408333333333,92361,541.956,1.9296875,4.74847656406067,0.32716506512762,2.61920769891013,2.50648122897494
2023,"Toronto",115.058333333333,105729,571.046,4.74324324324324,4.7454392461341,2.36944416042087,3.13238256812826,2.6817365528663
