"date","city","study_permit_inflow_proxy","source"
2016-01-01,"Hamilton",135,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-02-01,"Hamilton",110,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-03-01,"Hamilton",115,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-04-01,"Hamilton",160,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-05-01,"Hamilton",305,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-06-01,"Hamilton",380,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-07-01,"Hamilton",200,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-08-01,"Hamilton",1080,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-09-01,"Hamilton",440,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-10-01,"Hamilton",110,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-11-01,"Hamilton",155,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-12-01,"Hamilton",690,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-01-01,"Hamilton",185,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-02-01,"Hamilton",85,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-03-01,"Hamilton",80,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-04-01,"Hamilton",110,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-05-01,"Hamilton",185,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-06-01,"Hamilton",240,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-07-01,"Hamilton",405,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-08-01,"Hamilton",1425,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-09-01,"Hamilton",645,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-10-01,"Hamilton",185,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-11-01,"Hamilton",170,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-12-01,"Hamilton",565,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-01-01,"Hamilton",240,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-02-01,"Hamilton",100,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-03-01,"Hamilton",100,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-04-01,"Hamilton",230,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-05-01,"Hamilton",295,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-06-01,"Hamilton",595,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-07-01,"Hamilton",430,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-08-01,"Hamilton",1310,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-09-01,"Hamilton",430,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-10-01,"Hamilton",200,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-11-01,"Hamilton",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-12-01,"Hamilton",685,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-01-01,"Hamilton",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-02-01,"Hamilton",140,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-03-01,"Hamilton",230,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-04-01,"Hamilton",330,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-05-01,"Hamilton",390,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-06-01,"Hamilton",385,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-07-01,"Hamilton",655,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-08-01,"Hamilton",1865,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-09-01,"Hamilton",485,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-10-01,"Hamilton",175,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-11-01,"Hamilton",135,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-12-01,"Hamilton",760,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-01-01,"Hamilton",235,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-02-01,"Hamilton",100,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-03-01,"Hamilton",95,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-04-01,"Hamilton",235,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-05-01,"Hamilton",490,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-06-01,"Hamilton",295,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-07-01,"Hamilton",240,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-08-01,"Hamilton",750,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-09-01,"Hamilton",915,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-10-01,"Hamilton",165,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-11-01,"Hamilton",145,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-12-01,"Hamilton",245,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-01-01,"Hamilton",245,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-02-01,"Hamilton",185,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-03-01,"Hamilton",235,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-04-01,"Hamilton",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-05-01,"Hamilton",430,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-06-01,"Hamilton",505,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-07-01,"Hamilton",515,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-08-01,"Hamilton",1160,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-09-01,"Hamilton",740,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-10-01,"Hamilton",300,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-11-01,"Hamilton",265,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-12-01,"Hamilton",900,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-01-01,"Hamilton",425,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-02-01,"Hamilton",250,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-03-01,"Hamilton",220,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-04-01,"Hamilton",470,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-05-01,"Hamilton",425,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-06-01,"Hamilton",495,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-07-01,"Hamilton",515,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-08-01,"Hamilton",2150,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-09-01,"Hamilton",885,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-10-01,"Hamilton",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-11-01,"Hamilton",310,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-12-01,"Hamilton",2185,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-01-01,"Hamilton",400,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-02-01,"Hamilton",245,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-03-01,"Hamilton",295,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-04-01,"Hamilton",1050,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-05-01,"Hamilton",305,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-06-01,"Hamilton",460,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-07-01,"Hamilton",715,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-08-01,"Hamilton",3500,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-09-01,"Hamilton",675,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-10-01,"Hamilton",260,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-11-01,"Hamilton",345,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-12-01,"Hamilton",1725,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-01-01,"Hamilton",580,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-02-01,"Hamilton",310,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-03-01,"Hamilton",350,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-04-01,"Hamilton",760,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-05-01,"Hamilton",335,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-06-01,"Hamilton",340,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-07-01,"Hamilton",430,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-08-01,"Hamilton",1185,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-09-01,"Hamilton",600,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-10-01,"Hamilton",390,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-11-01,"Hamilton",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-12-01,"Hamilton",560,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-01-01,"Kitchener-Cambridge-Waterloo",265,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-02-01,"Kitchener-Cambridge-Waterloo",235,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-03-01,"Kitchener-Cambridge-Waterloo",180,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-04-01,"Kitchener-Cambridge-Waterloo",270,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-05-01,"Kitchener-Cambridge-Waterloo",445,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-06-01,"Kitchener-Cambridge-Waterloo",590,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-07-01,"Kitchener-Cambridge-Waterloo",470,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-08-01,"Kitchener-Cambridge-Waterloo",1510,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-09-01,"Kitchener-Cambridge-Waterloo",1020,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-10-01,"Kitchener-Cambridge-Waterloo",325,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-11-01,"Kitchener-Cambridge-Waterloo",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-12-01,"Kitchener-Cambridge-Waterloo",665,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-01-01,"Kitchener-Cambridge-Waterloo",220,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-02-01,"Kitchener-Cambridge-Waterloo",185,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-03-01,"Kitchener-Cambridge-Waterloo",220,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-04-01,"Kitchener-Cambridge-Waterloo",385,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-05-01,"Kitchener-Cambridge-Waterloo",395,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-06-01,"Kitchener-Cambridge-Waterloo",315,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-07-01,"Kitchener-Cambridge-Waterloo",715,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-08-01,"Kitchener-Cambridge-Waterloo",2330,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-09-01,"Kitchener-Cambridge-Waterloo",1300,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-10-01,"Kitchener-Cambridge-Waterloo",460,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-11-01,"Kitchener-Cambridge-Waterloo",365,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-12-01,"Kitchener-Cambridge-Waterloo",935,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-01-01,"Kitchener-Cambridge-Waterloo",445,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-02-01,"Kitchener-Cambridge-Waterloo",265,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-03-01,"Kitchener-Cambridge-Waterloo",405,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-04-01,"Kitchener-Cambridge-Waterloo",1220,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-05-01,"Kitchener-Cambridge-Waterloo",600,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-06-01,"Kitchener-Cambridge-Waterloo",975,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-07-01,"Kitchener-Cambridge-Waterloo",840,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-08-01,"Kitchener-Cambridge-Waterloo",3000,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-09-01,"Kitchener-Cambridge-Waterloo",1190,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-10-01,"Kitchener-Cambridge-Waterloo",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-11-01,"Kitchener-Cambridge-Waterloo",690,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-12-01,"Kitchener-Cambridge-Waterloo",1430,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-01-01,"Kitchener-Cambridge-Waterloo",510,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-02-01,"Kitchener-Cambridge-Waterloo",510,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-03-01,"Kitchener-Cambridge-Waterloo",540,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-04-01,"Kitchener-Cambridge-Waterloo",1475,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-05-01,"Kitchener-Cambridge-Waterloo",890,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-06-01,"Kitchener-Cambridge-Waterloo",695,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-07-01,"Kitchener-Cambridge-Waterloo",985,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-08-01,"Kitchener-Cambridge-Waterloo",4670,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-09-01,"Kitchener-Cambridge-Waterloo",1060,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-10-01,"Kitchener-Cambridge-Waterloo",340,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-11-01,"Kitchener-Cambridge-Waterloo",300,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-12-01,"Kitchener-Cambridge-Waterloo",2100,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-01-01,"Kitchener-Cambridge-Waterloo",745,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-02-01,"Kitchener-Cambridge-Waterloo",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-03-01,"Kitchener-Cambridge-Waterloo",220,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-04-01,"Kitchener-Cambridge-Waterloo",640,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-05-01,"Kitchener-Cambridge-Waterloo",1090,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-06-01,"Kitchener-Cambridge-Waterloo",680,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-07-01,"Kitchener-Cambridge-Waterloo",470,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-08-01,"Kitchener-Cambridge-Waterloo",1630,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-09-01,"Kitchener-Cambridge-Waterloo",1745,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-10-01,"Kitchener-Cambridge-Waterloo",395,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-11-01,"Kitchener-Cambridge-Waterloo",415,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-12-01,"Kitchener-Cambridge-Waterloo",700,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-01-01,"Kitchener-Cambridge-Waterloo",935,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-02-01,"Kitchener-Cambridge-Waterloo",650,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-03-01,"Kitchener-Cambridge-Waterloo",945,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-04-01,"Kitchener-Cambridge-Waterloo",1265,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-05-01,"Kitchener-Cambridge-Waterloo",810,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-06-01,"Kitchener-Cambridge-Waterloo",1260,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-07-01,"Kitchener-Cambridge-Waterloo",1835,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-08-01,"Kitchener-Cambridge-Waterloo",3825,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-09-01,"Kitchener-Cambridge-Waterloo",3585,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-10-01,"Kitchener-Cambridge-Waterloo",1215,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-11-01,"Kitchener-Cambridge-Waterloo",710,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-12-01,"Kitchener-Cambridge-Waterloo",2125,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-01-01,"Kitchener-Cambridge-Waterloo",1155,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-02-01,"Kitchener-Cambridge-Waterloo",1075,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-03-01,"Kitchener-Cambridge-Waterloo",1110,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-04-01,"Kitchener-Cambridge-Waterloo",1860,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-05-01,"Kitchener-Cambridge-Waterloo",1790,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-06-01,"Kitchener-Cambridge-Waterloo",1435,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-07-01,"Kitchener-Cambridge-Waterloo",1310,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-08-01,"Kitchener-Cambridge-Waterloo",4665,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-09-01,"Kitchener-Cambridge-Waterloo",3165,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-10-01,"Kitchener-Cambridge-Waterloo",1210,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-11-01,"Kitchener-Cambridge-Waterloo",845,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-12-01,"Kitchener-Cambridge-Waterloo",6520,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-01-01,"Kitchener-Cambridge-Waterloo",1795,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-02-01,"Kitchener-Cambridge-Waterloo",765,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-03-01,"Kitchener-Cambridge-Waterloo",825,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-04-01,"Kitchener-Cambridge-Waterloo",5930,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-05-01,"Kitchener-Cambridge-Waterloo",2655,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-06-01,"Kitchener-Cambridge-Waterloo",1040,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-07-01,"Kitchener-Cambridge-Waterloo",1920,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-08-01,"Kitchener-Cambridge-Waterloo",11380,"student_permits_city_proxy_2015_2025_monthly.csv"
